pair	filenameA	filenameB	group	path	baseline	new_score	new_type	rationale
25/572	20250507-_DSF0519.jpg	20250405-_R014662.jpg	confirmed	validate	0.95	0.95	complementary	IMAGE A depicts a joyful scene with music and noise implied by the festive atmosphere, while IMAGE B shows a woman blocking out sound, creating a complementary relationship between source and reception of auditory stimuli.
25/995	20250507-_DSF0519.jpg	20250405-_R014598.jpg	confirmed	validate	0.85	0.00	none	The proposed connection between the two images does not create a meaningful third meaning beyond their shared category of people in public spaces; one image shows joy and playfulness while the other depicts distress and concern, without any clear link through sound production or reception.
28/310	20210508-L1002550.jpg	20200719-L1009091.jpg	confirmed	validate	0.85	0.00	none	Neither image contains a sign demanding 'walk in', and the actions depicted do not embody or contradict such an idea; they are unrelated urban scenes.
29/299	20250426-R0015770.jpg	20240619-DSCF6633.jpg	confirmed	validate	0.85	0.00	none	The proposed connection relies on a fabric being real in one image and depicted in the other, but both images do not share a meaningful contrast or complementarity beyond this superficial similarity; they depict entirely different scenes without creating a third meaning.
29/401	20250426-R0015770.jpg	20250426-R0015852.jpg	confirmed	validate	0.85	0.00	none	The proposed connection relies on the presence of fabric in both images but does not create a meaningful contrast or complementarity beyond superficial similarity; one image shows a woman relaxing with her dog and another fabric near the dog's head, while the other depicts a woman at what appears to be a celebratory event with balloons surrounding her. The fabrics do not carry thematic significance that creates third meaning.
29/692	20250426-R0015770.jpg	20250510-_DSF0778.jpg	confirmed	validate	0.95	0.00	none	The connection relies on superficial similarity rather than creating a meaningful contrast or complementarity between the main subjects of both images; the dog in IMAGE A and the depicted dog in IMAGE B do not form a third meaning beyond shared imagery.
33/267	20250217-_DSF4799.jpg	20250329-_R013838.jpg	confirmed	validate	0.95	0.95	echo	Both images depict scenes involving communication and expression in public settings, with IMAGE A showing the source of sound (the woman speaking into a megaphone) and IMAGE B depicting the reception or obstruction of that message through body language and emotional response.
33/534	20250217-_DSF4799.jpg	04-20160709-IMG_8931.jpg	confirmed	validate	0.85	0.00	none	The proposed connection relies on superficial similarity (microphone presence) rather than creating a meaningful contrast or complementarity between the main subjects of both images.
33/551	20250217-_DSF4799.jpg	20250324-_DSF3447.jpg	confirmed	validate	0.95	0.95	complementary	IMAGE A depicts a woman speaking into a megaphone at a protest, while IMAGE B shows a protester covering her mouth as if in distress or crying, receiving the emotional impact of such messages.
33/599	20250217-_DSF4799.jpg	20200801-L1009607.jpg	confirmed	validate	0.95	0.90	complementary	IMAGE A depicts a woman speaking through a megaphone to an engaged crowd during a protest, while IMAGE B shows a tense confrontation between a protester and police officers where the atmosphere is one of physical and possibly auditory restraint.
33/969	20250217-_DSF4799.jpg	20250531-_R019089.jpg	confirmed	validate	0.95	0.00	none	Both images depict different protest scenes with varying messages and sentiments, but neither image announces or demands 'protest' in the way described; they both show protests already happening without any ironic contradiction.
33/995	20250217-_DSF4799.jpg	20250405-_R014598.jpg	confirmed	validate	0.95	0.95	complementary	IMAGE A depicts a woman speaking into a megaphone at a protest, while IMAGE B shows a woman covering her face in an outdoor setting, suggesting the reception or blocking of sound from a source like a protest.
34/599	20250217-_DSF3784.jpg	20200801-L1009607.jpg	confirmed	validate	0.95	0.00	none	The proposed connection does not hold as IMAGE A's sign does not warn of danger or explicitly name a baton; it criticizes political entities instead. The baton in IMAGE B is unrelated to the text in IMAGE A.
34/705	20250217-_DSF3784.jpg	20250501-_DSF6472.jpg	confirmed	validate	0.85	0.00	none	While IMAGE B has a sign reading 'PROTEST', both images depict scenes of protest without embodying or contradicting the idea of protesting; they merely show different instances of it.
34/969	20250217-_DSF3784.jpg	20250531-_R019089.jpg	confirmed	validate	0.95	0.00	none	Both images depict women holding protest signs in similar settings, but the proposed ironic relationship does not hold as neither sign announces or demands 'protest'; both images show protests already happening.
35/566	20250322-_DSF2696.jpg	20250217-_DSF3472.jpg	confirmed	validate	0.85	0.00	none	The woman in IMAGE A does not embody or contradict any specific idea related to women's rights or political activism; her image simply shows affectionate closeness without engaging with the text from IMAGE B.
36/497	20240617-DSCF6548.jpg	20240907-L1000992.jpg	confirmed	validate	0.85	0.85	contrastive	The white bucket hat in IMAGE A is real and worn seriously, while the Pikachu costume hat in IMAGE B is playful and part of a costume, creating a contrast between earnestness and whimsy.
37/267	20250315-_DSF9077.jpg	20250329-_R013838.jpg	confirmed	validate	0.95	0.95	echo	Both images depict scenes with strong emotional and vocal elements, one showing a man speaking into a megaphone (source of sound) while the other shows a woman in distress with a shouting man behind her (reception or blockage of sound), creating an echo effect between production and reception of intense communication.
37/551	20250315-_DSF9077.jpg	20250324-_DSF3447.jpg	confirmed	validate	0.95	0.95	complementary	The man in IMAGE A speaks into a megaphone, producing sound, while the woman in IMAGE B covers her mouth with her hands as if to block or suppress sound, creating a complementary relationship between source and receiver of sound.
37/572	20250315-_DSF9077.jpg	20250405-_R014662.jpg	confirmed	validate	0.95	0.95	complementary	IMAGE A depicts a man speaking into a megaphone, indicating the source of sound, while IMAGE B shows a woman cupping her ears to block out noise, representing the reception or blocking of that sound.
37/599	20250315-_DSF9077.jpg	20200801-L1009607.jpg	confirmed	validate	0.95	0.95	echo	Both images depict confrontational scenes involving communication and authority figures, with IMAGE A showing the source of sound (the man speaking into a megaphone) and IMAGE B depicting the reception or potential obstruction of that message by police officers.
37/963	20250315-_DSF9077.jpg	20250501-_DSF6377.jpg	confirmed	validate	0.85	0.00	none	The proposed connection fails CHECK 3 as both images depict individuals participating in protests with signs but do not embody or contradict the idea of 'stop' in a way that creates a third meaning beyond their shared category.
37/995	20250315-_DSF9077.jpg	20250405-_R014598.jpg	confirmed	validate	0.95	0.95	complementary	IMAGE A depicts a man speaking into a megaphone, suggesting he is the source of sound, while IMAGE B shows a woman covering her face as if overwhelmed or distressed in an outdoor setting, implying she may be receiving or reacting to that sound.
39/940	20240810-R0008655.jpg	20240818-L1000153.jpg	confirmed	validate	0.85	0.00	none	The proposed connection between the two images does not create a third meaning beyond their shared theme of motion and interaction; it merely restates that both scenes involve human actions but fails to establish a specific complementary relationship through the main subjects.
40/52	20250208-_DSF2403.jpg	20250315-_DSF9704.jpg	confirmed	validate	0.85	0.00	none	Both images depict real protest scenes with signs but do not create a specific third meaning beyond sharing the same category; they are merely two instances of protests.
40/267	20250208-_DSF2403.jpg	20250329-_R013838.jpg	confirmed	validate	0.95	0.95	complementary	IMAGE A depicts a woman playing a drum at an energetic gathering, while IMAGE B shows a woman in distress with her head down in front of a political backdrop, suggesting the sound from IMAGE A is received or blocked by the posture in IMAGE B.
40/551	20250208-_DSF2403.jpg	20250324-_DSF3447.jpg	confirmed	validate	0.95	0.95	complementary	IMAGE A depicts a woman playing a drum at an energetic protest, while IMAGE B shows a woman with her hands over her mouth in what appears to be the same type of event, suggesting she is receiving or blocking out the sound from similar sources like drums.
40/572	20250208-_DSF2403.jpg	20250405-_R014662.jpg	confirmed	validate	0.95	0.95	complementary	IMAGE A depicts an energetic gathering with people playing drums and holding signs, suggesting the production of sound, while IMAGE B shows a woman cupping her ears to block out noise in a public space, indicating the reception or blocking of that sound.
40/599	20250208-_DSF2403.jpg	20200801-L1009607.jpg	confirmed	validate	0.95	0.00	none	The proposed connection between the two images does not create a third meaning beyond their shared category of social events involving sound production and reception; it is too superficial and does not go beyond what both images independently convey.
40/665	20250208-_DSF2403.jpg	20200531-DSCF4365.jpg	confirmed	validate	0.95	0.00	none	The proposed connection relies on an interpretation of 'DEPORTATION BACK TO SCAM' as a generic danger warning and the police batons as the real danger, but there is no direct textual or thematic link between these elements in the given captions.
40/768	20250208-_DSF2403.jpg	73-20250606-_R019980.jpg	confirmed	validate	0.95	0.00	none	The proposed connection does not hold because there is no sign or text in IMAGE A that warns of danger or mentions a handgun; the caption only describes a protest scene with diverse participants and no specific warning signs.
40/995	20250208-_DSF2403.jpg	20250405-_R014598.jpg	confirmed	validate	0.85	0.00	none	The proposed connection between the two images does not create a third meaning beyond their shared category of public gatherings; one image depicts an energetic protest with music and engagement, while the other shows a somber scene with distress, lacking a specific complementary or contrasting relationship through sound production and reception.
41/310	20250324-_DSF3410.jpg	20200719-L1009091.jpg	confirmed	validate	0.85	0.00	none	The proposed connection fails because neither image contains text demanding 'walk in' nor does the woman's action contradict walking; both images simply depict people moving through urban spaces without embodying or contradicting any stated directive.
42/658	20250426-_R016343.jpg	20250426-_R016071.jpg	confirmed	validate	0.95	0.00	none	The logos in both images are real and do not create a meaningful contrast or complementarity beyond their presence; the connection is superficial.
44/310	20250124-_DSF0962.jpg	20200719-L1009091.jpg	confirmed	validate	0.85	0.00	none	The connection proposed is superficial and does not create a meaningful third meaning beyond the shared urban setting; there is no clear ironic or contrasting relationship between walking with a dog and skateboarding near a medical facility sign.
48/368	20210328-L1001685.jpg	20250515-_DSF2420.jpg	confirmed	validate	0.85	0.00	none	The proposed connection relies on the fence being real in one image and depicted in the other, but neither caption specifies that the fence is a depiction; both are real-world scenes with fences present.
48/496	20210328-L1001685.jpg	20250331-_DSF8443.jpg	confirmed	validate	0.85	0.00	none	The proposed connection relies on the fence being real in one image and depicted in the other, but neither caption specifies that the fence is a depiction; both fences are actual structures.
48/631	20210328-L1001685.jpg	20250515-_DSF2373.jpg	confirmed	validate	0.85	0.00	none	The flags in both images are real and do not depict each other; the presence of flags alone does not create a third meaning beyond shared category.
48/969	20210328-L1001685.jpg	20250531-_R019089.jpg	confirmed	validate	0.95	0.00	none	The flag in IMAGE A is real while the flag design on the sign in IMAGE B is depicted, but both images depict different scenes without a meaningful connection beyond the presence of flags; they do not embody or enact contrasting ideas about flags.
49/368	20250503-_DSF9939.jpg	20250515-_DSF2420.jpg	confirmed	validate	0.85	0.00	none	The presence of a fence in both images does not create a meaningful connection beyond shared setting; the link is too superficial and does not embody or enact contrasting ideas.
49/496	20250503-_DSF9939.jpg	20250331-_DSF8443.jpg	confirmed	validate	0.85	0.00	none	The proposed connection relies on the fence being real in one image and depicted in the other, but there is no depiction of a fence in IMAGE B; both images show fences as real elements.
49/940	20250503-_DSF9939.jpg	20240818-L1000153.jpg	confirmed	validate	0.95	0.00	none	The proposed connection between the two images does not create a third meaning beyond their shared theme of motion; one image shows a woman walking while being watched by an audience, and the other depicts a woman lying still with police officers nearby. The link is too superficial and does not embody a specific complementary or contrasting idea that runs through both main subjects.
50/267	20250315-_DSF9076.jpg	20250329-_R013838.jpg	confirmed	validate	0.95	0.95	echo	Both images depict scenes where communication and expression are central, with one image showing the source of sound (the man speaking into a megaphone) and the other showing the reception or obstruction of that sound (a woman in distress with her head down).
50/551	20250315-_DSF9076.jpg	20250324-_DSF3447.jpg	confirmed	validate	0.95	0.95	complementary	IMAGE A depicts a man speaking into a megaphone at what appears to be a public event or demonstration, while IMAGE B shows a woman covering her mouth as if crying during what seems to be the same type of gathering, creating a complementary relationship where one image is the source of sound and the other shows its reception or physical blocking.
50/572	20250315-_DSF9076.jpg	20250405-_R014662.jpg	confirmed	validate	0.95	0.95	complementary	IMAGE A depicts a man speaking into a megaphone at what appears to be a public event, while IMAGE B shows a woman cupping her ears in a similar setting, suggesting she is trying to block out noise or sound.
50/599	20250315-_DSF9076.jpg	20200801-L1009607.jpg	confirmed	validate	0.95	0.95	echo	The man in IMAGE A holding a megaphone and addressing an audience is the source of sound, while the woman in IMAGE B raising her hands in concern or fear appears to be receiving or reacting to that sound, creating an echo effect between production and reception.
50/995	20250315-_DSF9076.jpg	20250405-_R014598.jpg	confirmed	validate	0.95	0.90	complementary	IMAGE A depicts a man speaking into a megaphone at what appears to be a public event, while IMAGE B shows a woman covering her face in distress, suggesting she is receiving or reacting to the sound from such an event.
52/126	20250315-_DSF9704.jpg	20250405-_DSF0855.jpg	confirmed	validate	0.95	0.00	none	Both images depict protest scenes with people holding signs, but neither image depicts or demands 'protest' in the way described; they merely show ongoing protests without any ironic contradiction.
52/665	20250315-_DSF9704.jpg	20200531-DSCF4365.jpg	confirmed	validate	0.95	0.00	none	The proposed connection does not hold as there are no signs or texts in IMAGE A that warn of danger; the 'DO SOMETHING' text on the bus is unrelated to a warning about batons.
52/705	20250315-_DSF9704.jpg	20250501-_DSF6472.jpg	confirmed	validate	0.95	0.00	none	Both images depict scenes from protests but do not create a specific third meaning beyond their shared category; the sign in IMAGE B does not contradict or embody an ironic relationship with the protest scene in IMAGE A.
52/768	20250315-_DSF9704.jpg	73-20250606-_R019980.jpg	confirmed	validate	0.95	0.00	none	The proposed connection does not hold because IMAGE A's sign does not explicitly warn of danger or name a handgun; it merely states 'DO SOMETHING', which is insufficient to establish the claimed ironic relationship with IMAGE B's depiction of a handgun.
52/842	20250315-_DSF9704.jpg	20240709-DSCF7798.jpg	confirmed	validate	0.85	0.95	contrastive	The bus with 'DO SOMETHING' text in IMAGE A contrasts with the toy cars in IMAGE B, highlighting different contexts and attitudes towards similar objects.
52/969	20250315-_DSF9704.jpg	20250531-_R019089.jpg	confirmed	validate	0.95	0.00	none	Both images depict protest scenes with people holding signs, but the proposed ironic relationship does not hold as neither image announces or demands 'protest' in a way that contradicts its content; both simply show ongoing protests without restating or contradicting their nature.
54/530	20240810-R0008683.jpg	20250405-_DSF0626.jpg	confirmed	validate	0.95	0.00	none	The connection is superficial as both images depict people at events with positive messages but do not embody or contradict the specific idea of 'love' in a meaningful way beyond their shared category.
54/627	20240810-R0008683.jpg	20250426-_DSF5603.jpg	confirmed	cold	0.85	0.00	none	Both images show people celebrating at a lively event, but there is no specific thematic connection beyond this shared category.
54/821	20240810-R0008683.jpg	20240519-DSCF3555.jpg	confirmed	validate	0.95	0.00	none	The connection relies on the superficial detail of tattoos being real versus depicted, but both images simply show people with visible tattoos in different contexts without creating a deeper third meaning beyond shared category.
55/940	20250125-_DSF1059.jpg	20240818-L1000153.jpg	confirmed	validate	0.85	0.00	none	The proposed connection between the two images does not create a third meaning beyond their shared theme of motion; both scenes depict people in different states of movement but do not embody or enact contrasting ideas that form a complementary relationship.
56/705	20250531-_R019127.jpg	20250501-_DSF6472.jpg	confirmed	validate	0.95	0.00	none	The proposed connection fails CHECK 2 because both images depict actual protests rather than one image stating an idea and the other enacting it; they are instances of protest without contradiction or embodiment of a stated concept.
56/969	20250531-_R019127.jpg	20250531-_R019089.jpg	confirmed	validate	0.95	0.00	none	Both images depict different protest scenes with distinct signs and emotional registers, but they do not create a third meaning beyond sharing the category of political demonstrations.
57/940	20241015-_DSF0382.jpg	20240818-L1000153.jpg	confirmed	validate	0.85	0.00	none	The proposed connection between the two images does not create a third meaning beyond their shared theme of urban settings and people in motion or stillness; it fails to establish a specific link that goes beyond what is evident in each image alone.
58/940	20230902-R0001928.jpg	20240818-L1000153.jpg	confirmed	validate	0.85	0.00	none	The proposed connection between the two images does not create a third meaning beyond their shared theme of motion; it merely suggests a superficial relationship without embodying a specific and meaningful contrast or complementarity that runs through the main subjects of both images.
60/101	20250526-_R018223.jpg	20250402-R0013895.jpg	confirmed	validate	0.85	0.00	none	Both images depict individuals near water but do not create a meaningful contrast beyond the shared setting; they are separate scenes of different activities and moods without embodying or contradicting each other's essence.
62/247	20250515-_DSF2454.jpg	20241101-_DSF0811.jpg	confirmed	validate	0.85	0.90	contrastive	The rodeo scene depicts a real, intense interaction with a horse, while the man in the festival setting holds a toy cow, contrasting earnestness with playful representation.
62/296	20250515-_DSF2454.jpg	20250124-_DSF0914.jpg	confirmed	validate	0.85	0.00	none	The connection relies on superficial similarity (a horse) rather than creating a specific third meaning beyond shared category.
62/315	20250515-_DSF2454.jpg	20200717-L1008900.jpg	confirmed	validate	0.95	0.00	none	The proposed connection does not hold because IMAGE A shows a real horse in a rodeo event, while IMAGE B depicts an elephant statue; there is no depicted horse in IMAGE B.
62/423	20250515-_DSF2454.jpg	20250503-_DSF9785.jpg	confirmed	cold	0.89	0.00	none	Both images show women riding bucking horses in a rodeo arena.
65/496	20250515-_DSF2440.jpg	20250331-_DSF8443.jpg	confirmed	validate	0.85	0.00	none	The proposed connection relies on the presence of fences but does not create a meaningful contrast or complement between the images; both scenes are distinct and lack a deeper thematic link beyond superficial elements.
66/969	20240813-_DSF8385.jpg	20250531-_R019089.jpg	confirmed	validate	0.95	0.95	contrastive	The images contrast an earnest political protest sign with a depicted flag in a celebratory drag performance, highlighting different uses and meanings of flags.
67/491	20250426-_DSF5050.jpg	20250531-_DSF4134.jpg	confirmed	validate	0.95	1.00	ironic	The sign in IMAGE B explicitly warns of 'Blood is on Abbott's Hands!', while IMAGE A shows hands in a non-threatening and intimate context, creating an ironic contrast between the literal depiction of hands and the ominous warning about responsibility for harm.
67/895	20250426-_DSF5050.jpg	20250405-_DSF0848.jpg	confirmed	validate	0.95	0.95	ironic	IMAGE A depicts an intimate interaction between two women with their hands engaged in close contact, while IMAGE B shows a protest scene where one woman holds a sign warning 'Hands Off Medicare & Medicaid', creating an ironic contrast between the protective gesture of the sign and the physical presence and touch represented in IMAGE A.
69/310	20230825-R0001502.jpg	20200719-L1009091.jpg	confirmed	validate	0.85	0.00	none	The proposed connection relies on an interpretation of 'Just Walk In' as demanding entry, but the images do not embody or contradict walking in; they depict unrelated casual activities.
71/129	20250304-_R012484.jpg	20250501-_R016414.jpg	confirmed	validate	0.85	0.00	none	The proposed connection does not hold because neither image depicts a sign from the other; both are real protest scenes with signs expressing different views. The presence of signs in both images does not create a third meaning beyond their shared category.
71/181	20250304-_R012484.jpg	20250515-_DSF2334.jpg	confirmed	validate	0.85	0.00	none	The presence of an American flag in both images does not create a meaningful connection beyond shared elements; the flags are incidental and do not embody or enact contrasting ideas.
71/443	20250304-_R012484.jpg	20250515-_DSF2343.jpg	confirmed	validate	0.85	0.00	none	The presence of an American flag in both images does not create a meaningful contrast or complementarity beyond the shared category; it is merely incidental and superficial.
71/969	20250304-_R012484.jpg	20250531-_R019089.jpg	confirmed	validate	0.95	0.00	none	Both images depict women holding protest signs in similar settings, but the proposed ironic relationship does not hold as neither image announces or demands 'protest' while contradicting it; both scenes are literal enactments of protests without contradiction.
73/479	20250515-_DSF2130.jpg	20250503-_DSF9751.jpg	confirmed	validate	0.85	0.00	none	The proposed connection does not hold because both images depict real people wearing cowboy hats in similar settings; there is no depiction of a costume version or play representation.
73/497	20250515-_DSF2130.jpg	20240907-L1000992.jpg	confirmed	validate	0.85	0.95	contrastive	The cowboy hat in IMAGE A is real and part of the attire for an event, while the Pikachu costume hat in IMAGE B is a playful representation, creating a contrast between earnestness and whimsy.
